5
bere 36
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic3.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic4.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic5.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic6.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic7.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic8.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic9.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic10.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic11.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic12.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic13.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic14.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic15.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic16.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic17.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic18.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic19.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic20.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic21.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic22.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic23.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic24.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic25.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic26.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic27.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic28.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic29.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic30.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic31.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic32.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic33.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic34.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic35.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic36.png 
moto 36
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic145.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic146.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic147.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic148.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic149.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic150.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic151.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic152.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic153.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic154.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic155.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic156.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic157.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic158.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic159.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic160.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic161.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic162.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic163.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic164.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic165.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic166.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic167.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic168.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic169.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic170.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic171.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic172.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic173.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic174.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic175.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic176.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic177.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic178.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic179.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic180.png 
rate 36
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic73.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic74.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic75.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic76.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic77.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic78.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic79.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic80.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic81.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic82.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic83.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic84.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic85.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic86.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic87.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic88.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic89.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic90.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic91.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic92.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic93.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic94.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic95.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic96.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic97.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic98.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic99.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic100.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic101.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic102.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic103.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic104.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic105.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic106.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic107.png 
C:\Users\Lucian\Documents\Visual Studio 2015\Projects\OpenCVHogDescriptor\pictures\bigdata\pic108.png 
